index,token
0,<blank>
1,<si>
2,<unk>
3,<pad>
4,곳
5,ㅇ
6,ㅗ
7,ㄹ
8,다음
9,내리다
10,차내리다
11,ㄱ
12,ㅏ
13,도착
14,저기
15,ㄴ
16,가다
17,ㅣ
18,맞다
19,ㅅ
20,ㅜ
21,ㅓ
22,ㅁ
23,방법
24,지하철
25,실종
26,무엇
27,ㄷ
28,전
29,안되다
30,ㅈ
31,길
32,버스
33,여기
34,목적
35,잃어버리다
36,ㅐ
37,찾다
38,ㅂ
39,보다
40,ㅎ
41,카드
42,?
43,사용
44,없다
45,ㅡ
46,ㅊ
47,에어컨
48,ㅕ
49,고장
50,오케이
51,나사렛
52,샛길
53,택시
54,불량
55,신호등
56,잘
57,단말기터치
58,공항
59,확인
60,우회전
61,은행
62,불가능
63,명동
64,건너다
65,사거리
66,좌회전
67,자판기
68,돈
69,지름길
70,물품보관
71,경찰
72,송파
73,기차
74,병원
75,시청
76,죽다
77,시간
78,되다
79,갈아타다
80,종로
81,한국농아인협회
82,켜다
83,언덕
84,가능
85,곳곳
86,학교
87,119
88,청음회관
89,여의도
90,보건소
91,사라지다
92,서울대학교
93,ㅍ
94,차
95,손바닥찍다
96,서울농아인협회
97,서대문농아인복지관
98,맥도날드
99,백화점
100,이화여대
101,터널
102,군청
103,대로
104,육교
105,편지
106,아이
107,가방
108,파리바게트
109,영등포
110,끄다
111,스타벅스
112,이마트
113,빨리
114,난방
115,3
116,안
117,지갑
118,아파트
119,열쇠
120,우산
121,원하다
122,1호
123,있다
124,영수증
125,유턴
126,지금
127,ㅌ
128,ㅑ
129,핸드폰
130,서울역
131,접근
132,엘리베이터
133,ㅖ
134,ㅛ
135,트렁크열다
136,뒤
137,유리
138,다시
139,번호
140,고속터미널
141,물건
142,올리다
143,응급실
144,공기청정기
145,차밀리다
146,계단
147,따뜻하다
148,사진기
149,약
150,계산
151,9호
152,필요
153,도움받다
154,괜찮다
155,떨어지다
156,주차
157,편의점
158,다르다
159,시계
160,반지
161,노트북
162,알려주다
163,ㅔ
164,가깝다
165,문
166,알려받다
167,엉덩이
168,의자
169,얼마
170,급하다
171,고속
172,사다
173,짐
174,기다리다
175,쓰러지다
176,받다
177,안내하다
178,화장실
179,들어올리다
180,춥다
181,안내소
182,걷다
183,ㅠ
184,뼈곳
185,나
186,돈주다
187,지연되다
188,설명
